Rede Abastecedora Número 44,GO,CENTRO OESTE,306000,SIM,30,CONHECIMENTO,SIM,NÃO REALIZADO,9
Rede Abastecedora Número 28,SP,SÃO PAULO,304000,SIM,30,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Mais 10,SP,SÃO PAULO,265922,NÃO,30,CONHECIMENTO,NÃO,NÃO REALIZADO,4
Auto Posto Nº 103,PR,SUL,205000,SIM,29,CONHECIMENTO,SIM,REALIZADO,6
Auto Posto Mais 37,CE,NORDESTE,201820,NÃO,28,EXECUÇÃO,NÃO,NÃO REALIZADO,7
Auto Posto Nº 132,MG,SUDESTE,162271,SIM,27,EXECUÇÃO,SIM,REALIZADO,10
Auto Posto Domingo,PR,SUL,146160,SIM,27,CONHECIMENTO,SIM,REALIZADO,5
Auto Posto Nº 140,SP,SÃO PAULO,130444,NÃO,26,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Mais 38,PB,NORDESTE,629633,NÃO,26,EXECUÇÃO,NÃO,NÃO REALIZADO,9
Rede Abastecedora Número 36,GO,CENTRO OESTE,600000,NÃO,26,EXECUÇÃO,SIM,REALIZADO,6
Rede Abastecedora Número 1,RJ,SUDESTE,719394,SIM,26,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Mais 29,SP,SÃO PAULO,617402,NÃO,26,CONHECIMENTO,SIM,REALIZADO,5
Rede Abastecedora Número 2,RJ,SUDESTE,121600,SIM,26,EXECUÇÃO,SIM,REALIZADO,4
Auto Posto Mais 6,TO,NORTE,120000,NÃO,26,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 117,RJ,SUDESTE,112000,NÃO,26,CONHECIMENTO,NÃO,REALIZADO,3
Auto Posto Nº 45,PA,NORTE,109000,SIM,26,EXECUÇÃO,SIM,REALIZADO,3
Rô Comercio de Combustíveis,SP,SÃO PAULO,109000,NÃO,26,CONHECIMENTO,NÃO,REALIZADO,7
Auto Posto Nº 42,MT,CENTRO OESTE,108000,SIM,26,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 122,SP,SÃO PAULO,103041,NÃO,26,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 34,SP,SÃO PAULO,101000,NÃO,26,EXECUÇÃO,SIM,REALIZADO,3
Auto Posto Mais 46,SP,SÃO PAULO,100000,NÃO,26,CONHECIMENTO,SIM,REALIZADO,6
Auto Posto Mais 79,SP,SÃO PAULO,100000,NÃO,26,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Mais 42,RJ,SUDESTE,335887,NÃO,24,EXECUÇÃO,SIM,REALIZADO,9
Rede Ómicron,SP,SÃO PAULO,3053472,SIM,24,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Pi,SP,SÃO PAULO,3017888,SIM,24,EXECUÇÃO,SIM,REALIZADO,4
Rede Abastecedora Número 102,SP,SÃO PAULO,1700000,SIM,24,CONHECIMENTO,NÃO,NÃO REALIZADO,4
Auto Posto Nº 12,RJ,SUDESTE,1338812,SIM,24,EXECUÇÃO,SIM,REALIZADO,2
Auto Posto Mais 98,CE,NORDESTE,1151103,SIM,24,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Mais 49,RJ,SUDESTE,1117779,SIM,24,EXECUÇÃO,SIM,REALIZADO,6
Auto Posto Nº 20,MS,CENTRO OESTE,1090834,SIM,24,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Mais 76,MG,SUDESTE,931622,SIM,24,EXECUÇÃO,NÃO,NÃO REALIZADO,5
Auto Posto Nº 29,SP,SÃO PAULO,880937,SIM,24,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 106,SP,SÃO PAULO,834898,SIM,24,EXECUÇÃO,SIM,NÃO REALIZADO,5
Auto Posto Mais 22,SC,SUL,765510,SIM,24,EXECUÇÃO,NÃO,REALIZADO,5
Auto Posto Nº 47,SP,SÃO PAULO,629633,SIM,24,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Nº 52,SP,SÃO PAULO,508081,SIM,24,EXECUÇÃO,SIM,REALIZADO,6
Auto Posto Nº 54,SP,SÃO PAULO,502941,SIM,24,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 82,SP,SÃO PAULO,310000,SIM,24,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Nº 93,PE,NORDESTE,308666,SIM,24,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Nº 96,SP,SÃO PAULO,280879,SIM,24,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Mais 66,RN,NORDESTE,255789,SIM,24,EXECUÇÃO,SIM,REALIZADO,5
